iter	RMSE
0	70537.79279
1	67292.95107
2	64419.67051
3	61316.77419
4	58745.16246
5	56578.25744
6	54293.22291
7	52062.14116
8	49993.67142
9	48226.43796
10	46573.40435
11	44964.51449
12	43412.69682
13	42008.43131
14	40746.54582
15	39546.33111
16	38402.67341
17	37411.60295
18	36545.90699
19	35682.84722
20	34887.77651
21	33984.49688
22	33283.6552
23	32610.82919
24	31984.87316
25	31305.77825
26	30714.12133
27	30196.03863
28	29617.70688
29	29031.31636
30	28579.99012
31	28151.34913
32	27657.84154
33	27225.58664
34	26680.64882
35	26328.12015
36	25972.13217
37	25703.38
38	25410.88995
39	25153.26722
40	24846.90079
41	24542.53521
42	24347.77073
43	24098.63374
44	23863.22502
45	23595.21904
46	23338.86486
47	23169.65061
48	23006.75957
49	22826.50195
50	22592.76514
51	22375.92582
52	22216.59443
53	22028.58683
54	21884.61517
55	21735.21271
56	21553.6118
57	21424.06751
58	21262.19059
59	21115.44485
60	20973.93017
61	20852.81707
62	20736.24224
63	20655.01271
64	20559.32138
65	20465.08207
66	20299.5557
67	20137.57229
68	19986.60239
69	19887.78812
70	19780.33182
71	19675.49876
72	19563.85426
73	19470.28356
74	19381.95021
75	19258.26813
76	19140.85063
77	19049.71666
78	18934.7078
79	18866.40873
80	18795.05365
81	18715.26377
82	18551.00595
83	18435.55995
84	18355.06283
85	18294.17949
86	18208.59366
87	18137.03522
88	18065.8661
89	17978.42574
90	17891.54146
91	17807.93422
92	17746.22866
93	17671.59688
94	17615.51225
95	17549.61095
96	17463.75434
97	17408.53724
98	17361.6644
99	17291.2868
100	17236.03987
101	17179.56145
102	17110.07339
103	17029.16265
104	16972.06179
105	16881.65304
106	16835.39758
107	16758.42347
108	16698.42213
109	16639.75051
110	16579.70569
111	16526.56438
112	16478.88306
113	16404.49116
114	16352.92964
115	16306.38651
116	16240.27665
117	16185.5965
118	16135.33723
119	16084.48499
120	16043.25233
121	15994.6848
122	15938.58068
123	15903.54809
124	15855.6705
125	15773.9986
126	15745.07274
127	15714.52643
128	15666.46188
129	15604.64166
130	15514.71483
131	15466.73237
132	15414.8727
133	15382.96713
134	15334.68466
135	15297.25425
136	15252.76501
137	15208.04943
138	15180.82099
139	15135.0083
140	15098.40523
141	15069.51214
142	15030.51485
143	14991.36385
144	14943.47324
145	14887.01859
146	14853.77958
147	14833.47558
148	14774.91447
149	14732.76138
150	14696.82336
151	14660.99651
152	14610.37924
153	14558.58092
154	14502.98549
155	14468.42421
156	14436.38445
157	14388.24303
158	14337.643
159	14307.43383
160	14257.24734
161	14218.47076
162	14184.73729
163	14138.02351
164	14097.34241
165	14061.06382
166	14018.9549
167	13964.35908
168	13922.64347
169	13887.403
170	13835.97829
171	13813.397
172	13787.04453
173	13749.44498
174	13713.20722
175	13681.71136
176	13639.9083
177	13595.00741
178	13563.46646
179	13529.53111
180	13501.63763
181	13446.15017
182	13419.80854
183	13389.14192
184	13354.26625
185	13318.40329
186	13271.79157
187	13228.5146
188	13200.86885
189	13166.26954
190	13127.25275
191	13101.76706
192	13075.56632
193	13044.89477
194	13016.03835
195	12986.05418
196	12947.64672
197	12919.06331
198	12881.75441
199	12848.942
200	12827.1162
201	12795.6003
202	12765.50258
203	12741.12337
204	12703.57783
205	12672.88246
206	12639.05908
207	12606.89912
208	12578.34229
209	12557.12098
210	12523.87965
211	12504.43897
212	12479.28222
213	12444.04035
214	12428.10606
215	12401.8644
216	12378.83879
217	12348.33349
218	12321.05348
219	12303.6354
220	12280.22763
221	12255.81196
222	12232.53163
223	12198.49052
224	12166.43808
225	12136.33826
226	12106.39028
227	12074.96359
228	12041.06465
229	12011.02365
230	11985.41343
231	11958.30146
232	11924.87985
233	11894.4386
234	11865.81504
235	11840.0899
236	11813.19483
237	11793.03733
238	11770.07716
239	11735.79061
240	11705.34129
241	11678.24266
242	11657.69853
243	11649.13955
244	11630.45748
245	11601.49165
246	11576.54083
247	11568.93539
248	11545.66143
249	11522.0571
250	11491.02184
251	11468.22006
252	11441.52049
253	11411.45589
254	11394.62689
255	11373.19965
256	11352.384
257	11331.45045
258	11324.35824
259	11295.77923
260	11271.11078
261	11254.16356
262	11236.75772
263	11222.73523
264	11174.63306
265	11155.46885
266	11135.41971
267	11111.74277
268	11101.07032
269	11070.6964
270	11048.87119
271	11015.77153
272	11001.49272
273	10984.86888
274	10962.25171
275	10931.88638
276	10911.8401
277	10890.91958
278	10866.35192
279	10851.00365
280	10829.8501
281	10811.2569
282	10790.18184
283	10771.8403
284	10743.28146
285	10713.47425
286	10695.44153
287	10673.90045
288	10664.26495
289	10650.39153
290	10631.12818
291	10605.8096
292	10586.75599
293	10567.83454
294	10547.53261
295	10522.72336
296	10502.95968
297	10483.04652
298	10468.05288
299	10456.51633
300	10440.9875
301	10422.62399
302	10394.99086
303	10379.21997
304	10366.36169
305	10352.53099
306	10340.63595
307	10319.43465
308	10305.20402
309	10289.78693
310	10252.76894
311	10225.62224
312	10213.41057
313	10188.02268
314	10177.13114
315	10158.9868
316	10132.57766
317	10125.00725
318	10105.51022
319	10091.67873
320	10076.56612
321	10057.32745
322	10027.34625
323	10016.58537
324	9998.200091
325	9988.489475
326	9972.470002
327	9954.61941
328	9945.127579
329	9929.227194
330	9905.256328
331	9895.977724
332	9882.747802
333	9867.517558
334	9852.59972
335	9837.229797
336	9797.525223
337	9783.621807
338	9762.280326
339	9748.175079
340	9727.700404
341	9710.820588
342	9694.091686
343	9682.24153
344	9663.574359
345	9645.529996
346	9635.505839
347	9620.805332
348	9607.712987
349	9590.761902
350	9575.956872
351	9560.166902
352	9541.972714
353	9529.312249
354	9505.421858
355	9487.595249
356	9474.219862
357	9444.73772
358	9431.050402
359	9407.53758
360	9386.530471
361	9364.972998
362	9352.583325
363	9336.240125
364	9319.659044
365	9304.707101
366	9291.623147
367	9281.273845
368	9260.389153
369	9251.354555
370	9229.852398
371	9213.777386
372	9190.777415
373	9180.921077
374	9166.393336
375	9148.599857
376	9133.134162
377	9110.415338
378	9103.08939
379	9091.70719
380	9083.361562
381	9070.959709
382	9058.50596
383	9045.722847
384	9033.975283
385	9014.702344
386	8987.021054
387	8967.85017
388	8959.053278
389	8945.665958
390	8931.844418
391	8907.742928
392	8903.533249
393	8883.690885
394	8859.262468
395	8849.217629
396	8833.001895
397	8818.1665
398	8805.489502
399	8798.513629
