iter	Passed	Remaining
0	152	15091
1	155	7636
2	159	5147
3	162	3900
4	166	3167
5	170	2672
6	174	2312
7	177	2039
8	181	1833
9	184	1663
10	188	1522
11	191	1405
12	195	1306
13	199	1226
14	202	1150
15	206	1083
16	209	1023
17	213	973
18	217	925
19	220	881
20	223	841
21	227	805
22	230	772
23	234	741
24	237	712
25	240	685
26	244	661
27	248	638
28	251	615
29	254	594
30	258	574
31	262	556
32	265	539
33	268	521
34	272	505
35	276	490
36	279	476
37	283	462
38	286	448
39	290	435
40	294	423
41	298	411
42	301	399
43	304	387
44	308	377
45	312	366
46	315	355
47	318	345
48	321	335
49	325	325
50	329	316
51	332	306
52	335	297
53	340	290
54	344	281
55	347	273
56	350	264
57	354	256
58	358	249
59	361	241
60	365	233
61	368	225
62	372	218
63	375	211
64	378	203
65	381	196
66	385	189
67	388	183
68	392	176
69	395	169
70	399	162
71	402	156
72	406	150
73	410	144
74	413	137
75	416	131
76	420	125
77	424	119
78	427	113
79	430	107
80	434	101
81	438	96
82	441	90
83	445	84
84	448	79
85	466	75
86	470	70
87	474	64
88	477	59
89	480	53
90	484	47
91	488	42
92	492	37
93	495	31
94	499	26
95	503	20
96	506	15
97	509	10
98	512	5
99	517	0
