iter	Passed	Remaining
0	1	1873
1	3	1701
2	4	1619
3	6	1583
4	8	1630
5	9	1609
6	10	1558
7	12	1567
8	14	1571
9	15	1569
10	17	1565
11	19	1564
12	20	1563
13	22	1565
14	24	1588
15	25	1595
16	27	1570
17	28	1573
18	30	1574
19	32	1574
20	33	1572
21	35	1571
22	36	1549
23	38	1552
24	40	1574
25	42	1580
26	43	1581
27	45	1581
28	47	1578
29	48	1577
30	50	1576
31	51	1559
32	52	1535
33	53	1524
34	55	1534
35	57	1544
36	59	1541
37	60	1542
38	62	1546
39	64	1555
40	66	1551
41	68	1559
42	70	1567
43	72	1574
44	74	1578
45	76	1580
46	78	1581
47	79	1583
48	81	1579
49	83	1586
50	85	1596
51	87	1603
52	89	1600
53	91	1603
54	93	1606
55	95	1608
56	96	1596
57	98	1594
58	100	1598
59	102	1605
60	104	1613
61	106	1614
62	108	1613
63	110	1613
64	112	1612
65	113	1612
66	116	1615
67	118	1618
68	120	1619
69	121	1619
70	123	1620
71	125	1621
72	127	1620
73	129	1619
74	130	1610
75	132	1612
76	134	1612
77	136	1612
78	138	1612
79	140	1614
80	142	1614
81	143	1611
82	145	1609
83	147	1611
84	149	1612
85	151	1605
86	152	1604
87	154	1605
88	156	1605
89	158	1604
90	160	1603
91	162	1606
92	164	1606
93	166	1605
94	168	1604
95	170	1603
96	172	1603
97	174	1602
98	175	1600
99	177	1601
100	180	1603
101	181	1601
102	183	1600
103	185	1599
104	187	1599
105	189	1597
106	191	1595
107	193	1595
108	194	1590
109	196	1589
110	198	1587
111	200	1586
112	201	1585
113	203	1583
114	205	1582
115	207	1582
116	209	1584
117	211	1579
118	213	1578
119	215	1579
120	217	1580
121	219	1577
122	221	1579
123	224	1582
124	226	1585
125	228	1583
126	230	1583
127	232	1583
128	234	1582
129	237	1587
130	239	1591
131	242	1591
132	244	1591
133	246	1590
134	248	1590
135	250	1589
136	252	1587
137	254	1586
138	257	1593
139	259	1592
140	261	1591
141	263	1590
142	265	1589
143	267	1589
144	269	1589
145	271	1587
146	273	1585
147	275	1583
148	277	1583
149	279	1582
150	281	1581
151	283	1580
152	285	1580
153	287	1580
154	289	1578
155	291	1577
156	293	1576
157	295	1574
158	297	1571
159	298	1569
160	301	1569
161	303	1569
162	305	1567
163	307	1565
164	309	1564
165	311	1562
166	313	1561
167	315	1560
168	317	1559
169	319	1558
170	321	1557
171	323	1555
172	325	1555
173	327	1554
174	329	1552
175	331	1551
176	333	1550
177	335	1548
178	337	1546
179	339	1545
180	341	1544
181	343	1542
182	345	1541
183	347	1541
184	349	1540
185	351	1538
186	353	1536
187	355	1535
188	357	1534
189	359	1530
190	361	1529
191	363	1530
192	365	1529
193	367	1528
194	369	1527
195	372	1526
196	374	1525
197	376	1524
198	379	1525
199	380	1522
200	382	1521
201	384	1519
202	386	1519
203	389	1518
204	391	1516
205	393	1515
206	395	1514
207	397	1513
208	398	1508
209	400	1506
210	402	1505
211	404	1504
212	406	1501
213	408	1499
214	410	1499
215	412	1498
216	414	1496
217	417	1496
218	419	1494
219	421	1492
220	423	1491
221	425	1490
222	427	1488
223	429	1486
224	431	1484
225	432	1480
226	434	1478
227	436	1476
228	438	1474
229	440	1474
230	442	1472
231	444	1470
232	446	1468
233	448	1466
234	449	1464
235	451	1463
236	453	1461
237	456	1460
238	458	1459
239	460	1458
240	462	1456
241	464	1454
242	466	1453
243	468	1452
244	470	1451
245	472	1449
246	474	1447
247	476	1446
248	478	1443
249	480	1441
250	482	1440
251	484	1439
252	487	1438
253	488	1436
254	490	1434
255	493	1432
256	495	1431
257	497	1429
258	499	1428
259	501	1427
260	503	1426
261	505	1424
262	507	1423
263	510	1422
264	512	1420
265	514	1419
266	516	1419
267	518	1417
268	520	1415
269	522	1411
270	524	1410
271	526	1408
272	528	1406
